Ticker,Security,Sector,Score
LVS,Las Vegas Sands,Consumer Discretionary,75.73
ATO,Atmos Energy,Utilities,74.45
HPE,Hewlett Packard Enterprise,Information Technology,74.22
WU,Western Union Co,Information Technology,72.48
HST,Host Hotels & Resorts,Real Estate,70.7
BAX,Baxter International Inc.,Health Care,69.87
KO,Coca-Cola Company,Consumer Staples,69.75
RL,Ralph Lauren Corporation,Consumer Discretionary,68.83
FISV,Fiserv Inc,Information Technology,68.49
PRGO,Perrigo,Health Care,67.57
CI,CIGNA Corp.,Health Care,64.07
ALLE,Allegion,Industrials,62.84
HII,Huntington Ingalls Industries,Industrials,62.56
FLT,FleetCor Technologies Inc,Information Technology,62.08
C,Citigroup Inc.,Financials,61.94
HES,Hess Corporation,Energy,61.67
FOXA,Fox Corporation (Class A),Communication Services,60.25
FOX,Fox Corporation (Class B),Communication Services,59.83
PPL,PPL Corp.,Utilities,58.83
MTB,M&T Bank Corp.,Financials,58.09
SO,Southern Company,Utilities,57.56
DXCM,DexCom,Health Care,57.02
SLB,Schlumberger Ltd.,Energy,54.82
AIV,Apartment Investment & Management,Real Estate,54.29
RE,Everest Re Group Ltd.,Financials,53.43
SPG,Simon Property Group Inc,Real Estate,52.99
DISH,Dish Network,Communication Services,52.58
CAH,Cardinal Health Inc.,Health Care,50.79
NI,NiSource Inc.,Utilities,49.18
NOC,Northrop Grumman,Industrials,47.68
JNPR,Juniper Networks,Information Technology,46.73
NLOK,NortonLifeLock,Information Technology,46.23
CLX,The Clorox Company,Consumer Staples,44.91
EVRG,Evergy,Utilities,44.89
XEL,Xcel Energy Inc,Utilities,44.55
GD,General Dynamics,Industrials,44.41
FLIR,FLIR Systems,Information Technology,43.46
TSN,Tyson Foods,Consumer Staples,42.63
KR,Kroger Co.,Consumer Staples,42.58
MRO,Marathon Oil Corp.,Energy,41.74
FANG,Diamondback Energy,Energy,41.19
MRK,Merck & Co.,Health Care,40.69
PBCT,People's United Financial,Financials,40.39
CBOE,Cboe Global Markets,Financials,38.21
UAL,United Airlines Holdings,Industrials,38.07
CCI,Crown Castle International Corp.,Real Estate,37.94
ALL,Allstate Corp,Financials,37.46
BA,Boeing Company,Industrials,37.32
HRL,Hormel Foods Corp.,Consumer Staples,36.61
ES,Eversource Energy,Utilities,35.39
CINF,Cincinnati Financial,Financials,35.21
FIS,Fidelity National Information Services,Information Technology,32.47
GIS,General Mills,Consumer Staples,31.88
HRB,H&R Block,Consumer Discretionary,31.58
OMC,Omnicom Group,Communication Services,31.57
VRTX,Vertex Pharmaceuticals Inc,Health Care,31.29
APA,Apache Corporation,Energy,31.2
ED,Consolidated Edison,Utilities,31.16
IBM,International Business Machines,Information Technology,29.77
CSCO,Cisco Systems,Information Technology,28.28
SLG,SL Green Realty,Real Estate,27.75
WDC,Western Digital,Information Technology,27.69
OKE,ONEOK,Energy,26.97
DLR,Digital Realty Trust Inc,Real Estate,24.12
JKHY,Jack Henry & Associates,Information Technology,23.19
AAL,American Airlines Group,Industrials,21.98
